
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513017293, 0.011821, 0.000067, 1513017293, 0.011821, 0.000067, 1513017293, 0.011809, 0.000065, 24.785824, 1, 1, 1, 128
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513017301, 0.011809, 0.000065, 1513017301, 0.011809, 0.000065, 1513017301, 0.011803, 0.000071, 24.919935, 1, 1, 1, 256
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513017309, 0.011773, 0.000065, 1513017309, 0.011773, 0.000065, 1513017309, 0.011736, 0.000094, 25.290752, 1, 1, 1, 512
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513017317, 0.011736, 0.000094, 1513017317, 0.011736, 0.011736, 1513017317, 0.011740, 0.000075, 26.204256, 1, 1, 1, 1024
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513017326, 0.011791, 0.000073, 1513017326, 0.011791, 0.000073, 1513017326, 0.011772, 0.000083, 24.832832, 1, 1, 6, 128
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513017333, 0.011772, 0.000083, 1513017334, 0.011772, 0.000083, 1513017334, 0.011772, 0.000084, 25.036833, 1, 1, 6, 256
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513017342, 0.011857, 0.000105, 1513017342, 0.011857, 0.000105, 1513017342, 0.011777, 0.000076, 25.202433, 1, 1, 6, 512
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513017350, 0.011777, 0.000076, 1513017350, 0.011777, 0.011777, 1513017350, 0.011775, 0.000075, 26.151104, 1, 1, 6, 1024
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513017358, 0.011755, 0.000080, 1513017358, 0.011755, 0.000080, 1513017358, 0.011826, 0.000100, 24.932384, 1, 1, 12, 128
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513017366, 0.011800, 0.000062, 1513017366, 0.011800, 0.000062, 1513017366, 0.011865, 0.000098, 24.922880, 1, 1, 12, 256
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513017374, 0.011866, 0.000099, 1513017374, 0.011866, 0.000099, 1513017374, 0.011862, 0.000090, 25.283327, 1, 1, 12, 512
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513017382, 0.011862, 0.000090, 1513017382, 0.011862, 0.011862, 1513017382, 0.011870, 0.000081, 26.169409, 1, 1, 12, 1024
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513017389, 0.011874, 0.000092, 1513017389, 0.011874, 0.000092, 1513017389, 0.011875, 0.000075, 24.831360, 1, 1, 36, 128
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513017398, 0.011875, 0.000075, 1513017398, 0.011875, 0.000075, 1513017398, 0.011842, 0.000086, 24.924768, 1, 1, 36, 256
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513017406, 0.011842, 0.000086, 1513017406, 0.011842, 0.000086, 1513017406, 0.011873, 0.000080, 25.276575, 1, 1, 36, 512
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513017414, 0.011874, 0.000080, 1513017414, 0.011874, 0.011874, 1513017414, 0.011859, 0.000078, 26.174879, 1, 1, 36, 1024
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513017422, 0.011859, 0.000078, 1513017422, 0.011859, 0.000078, 1513017422, 0.011858, 0.000073, 24.839808, 1, 1, 72, 128
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513017431, 0.011862, 0.000085, 1513017431, 0.011862, 0.000085, 1513017431, 0.011863, 0.000062, 24.977633, 1, 1, 72, 256
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513017438, 0.011863, 0.000062, 1513017438, 0.011863, 0.000062, 1513017438, 0.011857, 0.000081, 25.284576, 1, 1, 72, 512
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513017446, 0.011816, 0.000068, 1513017446, 0.011816, 0.011816, 1513017446, 0.011836, 0.000057, 26.197727, 1, 1, 72, 1024
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513017453, 0.011836, 0.000057, 1513017454, 0.011836, 0.000057, 1513017454, 0.011830, 0.000061, 24.910912, 1, 1, 144, 128
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513017463, 0.011830, 0.000061, 1513017463, 0.011830, 0.000061, 1513017463, 0.011823, 0.000074, 24.982176, 1, 1, 144, 256
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513017473, 0.011828, 0.000075, 1513017473, 0.011828, 0.000075, 1513017473, 0.011849, 0.000087, 22.584961, 1, 1, 144, 512
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513017481, 0.011849, 0.000087, 1513017481, 0.011849, 0.011849, 1513017481, 0.011844, 0.000063, 26.168833, 1, 1, 144, 1024
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513017488, 0.011846, 0.000092, 1513017488, 0.011846, 0.000092, 1513017488, 0.011856, 0.000069, 25.296928, 1, 1, 1024, 128
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513017497, 0.011881, 0.000067, 1513017497, 0.011881, 0.000067, 1513017497, 0.011872, 0.000060, 25.321695, 1, 1, 1024, 256
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513017505, 0.011861, 0.000054, 1513017505, 0.011861, 0.000054, 1513017505, 0.011883, 0.000061, 25.447647, 1, 1, 1024, 512
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513017513, 0.011883, 0.000061, 1513017513, 0.011883, 0.000061, 1513017513, 0.011888, 0.000060, 26.163391, 1, 1, 1024, 1024
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513017521, 0.011888, 0.000060, 1513017521, 0.011888, 0.000060, 1513017521, 0.011899, 0.000060, 25.531872, 1, 1, 2048, 128
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513017530, 0.011903, 0.000059, 1513017530, 0.011903, 0.000059, 1513017530, 0.011902, 0.000058, 25.539583, 1, 1, 2048, 256
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513017537, 0.011902, 0.000058, 1513017537, 0.011902, 0.000058, 1513017537, 0.011894, 0.000047, 25.641279, 1, 1, 2048, 512
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513017546, 0.011892, 0.000072, 1513017546, 0.011892, 0.000072, 1513017546, 0.011886, 0.000063, 26.285503, 1, 1, 2048, 1024
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513017556, 0.011886, 0.000063, 1513017556, 0.011886, 0.000063, 1513017556, 0.011855, 0.000091, 26.031073, 1, 1, 4096, 128
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513017565, 0.011876, 0.000076, 1513017565, 0.011876, 0.000076, 1513017565, 0.011871, 0.000082, 25.884256, 1, 1, 4096, 256
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513017573, 0.011854, 0.000097, 1513017573, 0.011854, 0.000097, 1513017573, 0.011859, 0.000091, 26.064735, 1, 1, 4096, 512
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513017582, 0.011859, 0.000091, 1513017582, 0.011859, 0.000091, 1513017582, 0.011851, 0.000093, 26.616768, 1, 1, 4096, 1024
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513017626, 0.011876, 0.000083, 1513017626, 0.011876, 0.000083, 1513017626, 0.011871, 0.000077, 26.774015, 1, 1, 8192, 256
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513017634, 0.011893, 0.000067, 1513017634, 0.011893, 0.000067, 1513017634, 0.011871, 0.000082, 27.031712, 1, 1, 8192, 512
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513017643, 0.011837, 0.000091, 1513017643, 0.011837, 0.000091, 1513017643, 0.011901, 0.000061, 27.051744, 1, 1, 8192, 1024
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513017653, 0.011894, 0.000069, 1513017653, 0.011904, 0.000060, 1513017654, 0.011897, 0.000067, 28.686880, 1, 5, 1, 128
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513017664, 0.011897, 0.000067, 1513017664, 0.011897, 0.000067, 1513017665, 0.011897, 0.000067, 28.777760, 1, 5, 1, 256
b_ts, b_mean, b_std, p_ts, p_mean, p_std, a_ts, a_mean, a_std, rte(ms), gpu, trades, generations, blocksize
1513017675, 0.011903, 0.000061, 1513017675, 0.011903, 0.000061, 1513017676, 0.011915, 0.000051, 29.348127, 1, 5, 1, 512
